T,prod_num
1,9
2,7
3,3
4,9
5,8
6,8
7,12
8,12
9,8
10,9
11,9
12,9
13,9
14,9
15,9
16,3
17,6
18,9
19,9
20,9
21,9
22,5
23,9
24,9
25,12
26,7
27,9
28,8
29,3
30,6
31,12
32,3
33,7
34,9
35,9
36,4
37,5
38,9
39,9
40,9
41,9
42,8
43,9
44,7
45,1
46,9
47,9
48,10
49,9
50,9
51,9
52,7
53,9
54,8
55,6
56,9
57,11
58,2
59,4
60,5
61,3
62,9
63,5
64,6
65,9
66,9
67,5
68,8
69,9
70,9
71,8
72,5
73,12
74,9
75,4
76,9
77,7
78,5
79,9
80,3
81,3
82,9
83,10
84,9
85,4
86,5
87,9
88,9
89,9
90,12
91,9
92,8
93,7
94,9
95,9
96,9
97,5
98,12
99,12
100,9
101,9
102,9
103,6
104,3
105,9
106,6
107,9
108,9
109,12
110,12
111,9
112,12
113,9
114,9
115,8
116,5
117,9
118,11
119,9
120,9
121,9
122,9
123,7
124,9
125,9
126,9
127,9
128,4
129,3
130,8
131,9
132,9
133,8
134,11
135,9
136,9
137,9
138,4
139,12
140,12
141,9
142,9
143,9
144,9
145,9
146,5
147,9
148,9
149,9
150,9
151,9
152,8
153,3
154,8
155,8
156,5
157,9
158,4
159,9
160,5
161,9
162,7
163,7
164,9
165,4
166,9
167,9
168,12
169,3
170,3
171,8
172,5
173,8
174,9
175,6
176,9
177,9
178,9
179,12
180,9
181,8
182,5
183,5
184,12
185,9
186,9
187,9
188,7
189,4
190,12
191,3
192,8
193,3
194,9
195,8
196,2
197,9
198,9
199,8
200,9
201,9
202,3
203,7
204,12
205,12
206,1
207,9
208,9
209,5
210,9
211,9
