T,prod_num
1,0.0
2,15.0
3,4.0
4,15.0
5,6.0
6,1.0
7,10.0
8,4.0
9,0.0
10,15.0
11,14.0
12,7.0
13,15.0
14,8.0
15,1.0
16,4.0
17,15.0
18,2.0
19,15.0
20,1.0
21,7.0
22,0.0
23,0.0
24,4.0
25,13.0
26,3.0
27,14.0
28,4.0
29,15.0
30,1.0
31,0.0
32,14.0
33,0.0
34,15.0
35,15.0
36,14.0
37,15.0
38,15.0
39,0.0
40,4.0
41,0.0
42,1.0
43,8.0
44,1.0
45,1.0
46,12.0
47,0.0
48,12.0
49,4.0
50,4.0
51,4.0
52,7.0
53,1.0
54,8.0
55,5.0
56,3.0
57,15.0
58,0.0
59,0.0
60,4.0
61,5.0
62,3.0
63,5.0
64,15.0
65,0.0
66,1.0
67,15.0
68,1.0
69,15.0
70,15.0
71,6.0
72,0.0
73,0.0
74,0.0
75,0.0
76,15.0
77,1.0
78,15.0
79,9.0
80,14.0
81,1.0
82,12.0
83,6.0
84,1.0
85,15.0
86,7.0
87,0.0
88,0.0
89,0.0
90,6.0
91,15.0
92,14.0
93,0.0
94,7.0
95,3.0
96,1.0
97,5.0
98,5.0
99,14.0
100,0.0
101,7.0
102,4.0
103,1.0
104,6.0
105,15.0
106,0.0
107,5.0
108,3.0
109,4.0
110,8.0
111,15.0
112,14.0
113,0.0
114,4.0
115,0.0
116,4.0
117,1.0
118,15.0
119,0.0
120,10.0
121,8.0
122,8.0
123,14.0
124,1.0
125,0.0
126,1.0
127,4.0
128,7.0
129,14.0
130,0.0
131,12.0
132,3.0
133,0.0
134,1.0
135,8.0
136,1.0
137,15.0
138,0.0
139,14.0
140,0.0
141,15.0
142,15.0
143,15.0
144,4.0
145,3.0
146,3.0
147,8.0
148,0.0
149,8.0
150,8.0
151,1.0
152,14.0
153,12.0
154,0.0
155,8.0
156,4.0
157,0.0
158,5.0
159,13.0
160,14.0
161,15.0
162,13.0
163,0.0
164,14.0
165,5.0
166,0.0
167,0.0
168,15.0
169,12.0
170,10.0
171,1.0
