T,prod_num
1,8
2,6
3,7
4,7
5,6
6,7
7,6
8,7
9,6
10,8
11,2
12,6
13,7
14,6
15,6
16,2
17,6
18,8
19,6
20,7
21,6
22,8
23,7
24,7
25,8
26,6
27,6
28,6
29,6
30,6
31,6
32,6
33,7
34,7
35,6
36,7
37,7
38,6
39,6
40,6
41,7
42,6
43,7
44,7
45,7
46,7
47,7
48,7
49,7
50,7
51,6
52,6
53,6
54,7
55,1
56,7
57,6
58,7
59,6
60,7
61,6
62,8
63,7
64,8
65,1
66,8
67,1
68,7
69,8
70,7
71,8
72,7
73,6
74,6
75,6
76,1
77,6
78,7
79,6
80,7
81,6
82,6
83,6
84,6
85,6
86,6
87,7
88,6
89,6
90,6
91,6
92,6
93,6
94,6
95,6
96,6
97,6
98,7
99,7
100,6
101,7
102,7
103,6
104,6
105,7
106,7
107,7
108,7
109,7
110,6
111,7
112,7
113,7
114,6
115,6
116,6
117,6
118,8
119,6
120,6
121,7
122,7
123,4
124,4
125,6
126,8
127,7
128,4
129,6
130,6
131,2
132,7
133,7
134,7
135,7
136,2
137,8
138,6
139,6
140,6
141,6
142,7
143,8
144,7
145,7
146,7
147,7
148,6
149,7
150,7
151,6
152,6
153,7
154,1
155,6
156,6
157,7
158,6
159,7
160,7
161,7
162,7
163,6
164,7
165,6
166,6
167,7
168,6
169,7
170,6
171,8
172,6
173,6
174,8
175,7
176,4
177,7
178,2
179,6
180,8
181,7
182,2
183,4
184,7
185,2
186,6
187,7
188,6
189,7
190,6
191,7
192,1
193,7
194,6
195,6
196,7
197,7
198,6
199,6
200,6
201,6
202,1
203,6
204,2
205,7
206,7
207,6
208,7
209,7
210,2
211,8
212,6
213,7
214,6
215,7
216,7
217,6
218,2
219,7
220,2
221,8
222,8
223,6
224,4
225,7
226,5
227,5
228,6
229,7
230,2
231,6
232,6
233,8
234,6
235,5
236,7
237,7
238,6
239,7
240,2
241,7
242,7
243,6
244,5
245,2
246,6
247,6
248,7
249,2
250,7
251,6
252,7
253,7
254,5
255,2
256,7
257,6
258,7
259,7
260,6
261,7
262,7
263,2
264,6
265,6
266,7
267,7
268,7
269,6
270,6
271,6
272,6
273,6
274,7
275,6
276,1
277,5
278,7
279,6
280,7
281,6
282,7
283,7
284,7
285,2
286,5
287,6
288,6
289,6
290,7
291,6
292,6
293,6
294,1
295,7
296,8
297,7
298,6
299,7
300,8
301,7
302,1
303,6
304,7
305,7
306,7
307,6
308,7
309,7
310,7
311,6
312,7
313,7
314,6
315,8
316,7
317,7
318,7
319,7
320,8
321,7
322,7
323,6
324,6
325,8
