T,prod_num
1,1
2,8
3,8
4,1
5,8
6,8
7,8
8,1
9,8
10,2
11,8
12,8
13,2
14,2
15,6
16,1
17,2
18,8
19,2
20,3
21,8
22,8
23,2
24,8
25,2
26,1
27,2
28,8
29,1
30,6
31,2
32,8
33,4
34,8
35,1
36,8
37,2
38,8
39,8
40,2
41,7
42,1
43,2
44,8
45,8
46,8
47,2
48,5
49,8
50,6
51,8
52,2
53,6
54,1
55,2
56,2
57,8
58,1
59,8
60,8
61,1
62,4
63,8
64,4
65,1
66,5
67,1
68,4
69,8
70,8
71,1
72,6
73,1
74,8
75,4
76,1
77,1
78,1
79,4
80,1
81,1
82,2
83,2
84,5
85,8
86,8
87,8
88,2
89,5
90,2
91,8
92,8
93,8
94,8
95,8
96,2
97,8
98,2
99,2
100,1
101,2
102,1
103,5
104,4
105,1
106,8
107,5
108,1
109,4
110,1
111,4
112,2
113,1
114,5
115,2
116,6
117,5
118,1
119,2
120,2
121,2
122,4
123,6
124,4
125,5
126,5
127,1
128,2
129,4
130,1
131,2
132,1
133,6
134,8
135,8
136,8
137,8
138,8
139,8
140,2
141,5
142,2
143,2
144,7
145,1
146,8
147,6
148,4
149,2
150,8
151,2
152,2
153,1
154,5
155,8
156,2
157,8
158,1
159,4
160,4
161,1
162,2
163,8
164,2
165,1
166,2
167,8
168,2
169,2
170,2
171,8
172,8
173,7
174,3
175,8
176,2
177,5
178,2
179,2
180,8
181,2
182,8
183,8
184,8
185,8
186,2
187,2
188,8
189,4
190,2
191,8
192,7
193,8
194,3
195,8
196,8
197,8
198,2
199,1
200,3
201,2
202,8
203,8
204,6
205,1
206,1
207,8
208,2
209,8
210,8
211,8
212,2
213,8
214,4
215,8
216,2
217,2
218,2
219,2
220,1
221,4
222,1
223,2
224,8
225,2
226,1
227,8
228,1
229,1
230,2
231,2
232,8
233,2
234,8
235,2
236,2
237,8
238,2
239,2
240,2
241,8
242,2
243,8
244,2
245,8
